timestamps,CAN1.OBD2.S01PID11_ThrottlePosition
s,%
0,18.43152
0.06155,18.43152
0.0819,18.43152
0.1024,18.43152
0.1231,18.43152
0.12335,18.43152
0.2622,18.43152
0.2696,18.43152
0.2827,18.43152
0.29905,18.43152
0.31955,18.43152
0.46295,18.43152
0.4796,18.43152
0.49985,18.43152
0.5209,18.43152
0.6596,18.43152
0.6801,18.43152
0.701,18.43152
0.72135,18.43152
0.90145,18.43152
0.99975,18.43152
1.10215,18.43152
1.12265,18.43152
1.14725,18.43152
1.26195,18.43152
1.2698,18.43152
1.3033,18.43152
1.3193,18.43152
1.4791,18.43152
1.4996,18.43152
1.5201,18.43152
1.68,18.43152
1.7008,18.43152
1.8602,18.43152
1.881,18.43152
1.90115,18.43152
1.92165,18.43152
1.979,18.43152
1.9995,18.43152
2.06095,18.43152
2.08145,18.43152
2.10195,18.43152
2.1224,18.43152
2.1716,18.43152
2.17975,18.43152
2.26185,18.43152
2.27,18.43152
2.28225,18.43152
2.3027,18.43152
2.3193,18.43152
2.46245,18.43152
2.4832,18.43152
2.49935,18.43152
2.51985,18.43152
2.65915,18.43152
2.67975,18.43152
2.70155,18.43152
2.72095,18.43152
2.86085,18.43152
2.88135,18.43152
2.9009,18.43152
2.9214,18.43152
2.9994,18.43152
3.0617,18.43152
3.08145,18.43152
3.10165,18.43152
3.1224,18.43152
3.19595,18.43152
3.2615,18.43152
3.27015,18.43152
3.2821,18.43152
3.30245,18.43152
3.32295,18.43152
3.4625,18.43152
3.48275,18.43152
3.4991,18.43152
3.51985,18.43152
3.663,18.43152
3.6794,18.43152
3.7001,18.43152
3.72145,18.43152
3.8597,18.43152
3.8803,18.43152
3.9017,18.43152
3.92155,18.43152
4.0031,18.43152
4.0609,18.43152
4.08135,18.43152
4.10145,18.43152
4.12195,18.43152
4.22085,18.43152
4.2618,18.43152
4.2705,18.43152
4.28175,18.43152
4.3022,18.43152
4.3227,18.43152
4.46225,18.43152
4.4825,18.43152
4.50295,18.43152
4.51935,18.43152
4.663,18.43152
4.67915,18.43152
4.69965,18.43152
4.72015,18.43152
4.8597,18.43152
4.8808,18.43152
4.90085,18.43152
4.92135,18.43152
5.0029,18.43152
5.0602,18.43152
5.0809,18.43152
5.1015,18.43152
5.12195,18.43152
5.2446,18.43152
5.2611,18.43152
5.27065,18.43152
5.28155,18.43152
5.302,18.43152
5.32265,18.43152
5.46175,18.43152
5.48225,18.43152
5.5027,18.43152
5.52325,18.43152
5.6625,18.43152
5.683,18.43152
5.6994,18.43152
5.7199,18.43152
5.8633,18.43152
5.8797,18.43152
5.90105,18.43152
5.92125,18.43152
6.00295,18.43152
6.06,18.43152
6.0808,18.43152
6.10095,18.43152
6.1217,18.43152
6.26105,18.43152
6.26895,18.43152
6.27115,18.43152
6.28125,18.43152
6.30175,18.43152
6.32245,18.43152
6.46155,18.43152
6.48205,18.43152
6.5025,18.43152
6.523,18.43152
6.6623,18.43152
6.6828,18.43152
6.7035,18.43152
6.71965,18.43152
6.8634,18.43152
6.87945,18.43152
6.89995,18.43152
6.92095,18.43152
7.0024,18.43152
7.05975,18.43152
7.08025,18.43152
7.1011,18.43152
7.1212,18.43152
7.26155,18.43152
7.27095,18.43152
7.28125,18.43152
7.2933,18.43152
7.3015,18.43152
7.322,18.43152
7.4613,18.43152
7.48175,18.43152
7.50225,18.43152
7.5229,18.43152
7.66205,18.43152
7.68255,18.43152
7.703,18.43152
7.71965,18.43152
7.86285,18.43152
7.88335,18.43152
7.89985,18.43152
7.9216,18.43152
8.00215,18.43152
8.0595,18.43152
8.08,18.43152
8.1017,18.43152
8.12115,18.43152
8.2603,18.43152
8.2712,18.43152
8.28145,18.43152
8.30125,18.43152
8.31765,18.43152
8.32195,18.43152
8.46145,18.43152
8.4818,18.43152
8.502,18.43152
8.5225,18.43152
8.6618,18.43152
8.6823,18.43152
8.70305,18.43152
8.7233,18.43152
8.86285,18.43152
8.8831,18.43152
8.89975,18.43152
8.92015,18.43152
9.00195,18.43152
9.0634,18.43152
9.08005,18.43152
9.1008,18.43152
9.1217,18.43152
9.26005,18.43152
9.27135,18.43152
9.2809,18.43152
9.30145,18.43152
9.3215,18.43152
9.342,18.43152
9.46095,18.43152
9.4816,18.43152
9.50195,18.43152
9.52225,18.43152
9.6618,18.43152
9.6821,18.43152
9.70255,18.43152
9.72305,18.43152
9.8626,18.43152
9.88285,18.43152
9.90335,18.43152
9.91975,18.43152
10.0017,18.43152
10.06315,18.43152
10.08365,18.43152
10.1,18.43152
10.1209,18.43152
10.26005,18.43152
10.2715,18.43152
10.2809,18.43152
10.3009,18.43152
10.32165,18.43152
10.36635,18.43152
10.4609,18.43152
10.48105,18.43152
10.5016,18.43152
10.5222,18.43152
10.66135,18.43152
10.6821,18.43152
10.70255,18.43152
10.7228,18.43152
10.86215,18.43152
10.88265,18.43152
10.9031,18.43152
10.9236,18.43152
11.00145,18.43152
11.0629,18.43152
11.08365,18.43152
11.09995,18.43152
11.12025,18.43152
11.2637,18.43152
11.27165,18.43152
11.28005,18.43152
11.3009,18.43152
11.32125,18.43152
11.391,18.43152
11.46035,18.43152
11.4812,18.43152
11.5013,18.43152
11.52185,18.43152
11.6611,18.43152
11.6816,18.43152
11.70215,18.43152
11.72265,18.43152
11.8619,18.43152
11.8824,18.43152
11.90285,18.43152
11.92335,18.43152
12.00185,18.43152
12.06285,18.43152
12.08315,18.43152
12.10365,18.43152
12.12005,18.43152
12.26345,18.43152
12.27185,18.43152
12.2798,18.43152
12.30145,18.43152
12.32085,18.43152
12.41505,18.43152
12.4601,18.43152
12.48175,18.43152
12.5011,18.43152
12.52155,18.43152
12.6617,18.43152
12.68135,18.43152
12.70185,18.43152
12.72235,18.43152
12.8619,18.43152
12.88215,18.43152
12.90265,18.43152
12.92315,18.43152
13.00125,18.43152
13.0624,18.43152
13.08305,18.43152
13.1034,18.43152
13.1198,18.43152
13.2632,18.43152
13.272,18.43152
13.28365,18.43152
13.3001,18.43152
13.32165,18.43152
13.43935,18.43152
13.46,18.43152
13.4811,18.43152
13.5017,18.43152
13.5217,18.43152
13.6611,18.43152
13.68145,18.43152
13.7016,18.43152
13.7221,18.43152
13.8616,18.43152
13.8819,18.43152
13.9024,18.43152
13.9229,18.43152
14.00085,18.43152
14.06215,18.43152
14.0827,18.43152
14.10315,18.43152
14.12365,18.43152
14.2632,18.43152
14.2722,18.43152
14.28345,18.43152
14.30395,18.43152
14.32095,18.43152
14.46375,18.43152
14.464,18.43152
14.4801,18.43152
14.501,18.43152
14.5215,18.43152
14.66085,18.43152
14.6809,18.43152
14.7014,18.43152
14.72185,18.43152
14.8612,18.43152
14.88185,18.43152
14.90215,18.43152
14.9229,18.43152
15.00155,18.43152
15.06235,18.43152
15.08245,18.43152
15.1031,18.43152
15.12345,18.43152
15.2627,18.43152
15.2724,18.43152
15.2832,18.43152
15.3037,18.43152
15.3209,18.43152
15.4635,18.43152
15.484,18.43152
15.4883,18.43152
15.501,18.43152
15.52095,18.43152
15.66015,18.43152
15.681,18.43152
15.7011,18.43152
15.722,18.43152
15.86095,18.43152
15.8816,18.43152
15.90195,18.43152
15.92245,18.43152
16.0009,18.43152
16.0617,18.43152
16.0822,18.43152
16.10295,18.43152
16.1232,18.43152
16.2625,18.43152
16.2726,18.43152
16.28295,18.43152
16.30345,18.43152
16.32395,18.43152
16.46325,18.43152
16.484,18.43152
16.50015,18.43152
16.51245,18.43152
16.52095,18.43152
16.66415,18.43152
16.68155,18.43152
16.70095,18.43152
16.7214,18.43152
16.86165,18.43152
16.88125,18.43152
16.90215,18.43152
16.9222,18.43152
17.00415,18.43152
17.06145,18.43152
17.082,18.43152
17.1025,18.43152
17.12295,18.43152
17.26245,18.43152
17.27275,18.43152
17.28275,18.43152
17.30325,18.43152
17.32385,18.43152
17.46305,18.43152
17.4835,18.43152
17.504,18.43152
17.52145,18.43152
17.53675,18.43152
17.66375,18.43152
17.6802,18.43152
17.7016,18.43152
17.72115,18.43152
17.8609,18.43152
17.88185,18.43152
17.90145,18.43152
17.92195,18.43152
18.0039,18.43152
18.06145,18.43152
18.08175,18.43152
18.1022,18.43152
18.1227,18.43152
18.26225,18.43152
18.27295,18.43152
18.2825,18.43152
18.303,18.43152
18.3237,18.43152
18.4628,18.43152
18.48325,18.43152
18.504,18.43152
18.52425,18.43152
18.5611,18.43152
18.66385,18.43152
18.68405,18.43152
18.70115,18.43152
18.7219,18.43152
18.86025,18.43152
18.8815,18.43152
18.90155,18.43152
18.9217,18.43152
19.00365,18.43152
19.061,18.43152
19.0815,18.43152
19.10195,18.43152
19.1225,18.43152
19.2618,18.43152
19.27315,18.43152
19.28225,18.43152
19.3029,18.43152
19.32325,18.43152
19.46255,18.43152
19.48305,18.43152
19.5035,18.43152
19.524,18.43152
19.5856,18.43152
19.6633,18.43152
19.68405,18.43152
19.7043,18.43152
19.72115,18.43152
19.8641,18.43152
19.8812,18.43152
19.90105,18.43152
19.92175,18.43152
20.0034,18.43152
20.0611,18.43152
20.08125,18.43152
20.102,18.43152
20.12225,18.43152
20.26175,18.43152
20.27335,18.43152
20.28205,18.43152
20.3025,18.43152
20.323,18.43152
20.4623,18.43152
20.4833,18.43152
20.50325,18.43152
20.5238,18.43152
20.61025,18.43152
20.66305,18.43152
20.68355,18.43152
20.70405,18.43152
20.721,18.43152
20.8641,18.43152
20.88435,18.43152
20.90105,18.43152
20.9214,18.43152
21.0032,18.43152
21.06165,18.43152
21.0812,18.43152
21.1015,18.43152
21.122,18.43152
21.2613,18.43152
21.2735,18.43152
21.28195,18.43152
21.3023,18.43152
21.32275,18.43152
21.4621,18.43152
21.4826,18.43152
21.50305,18.43152
21.52355,18.43152
21.63415,18.43152
21.6628,18.43152
21.68335,18.43152
21.7038,18.43152
21.72445,18.43152
21.86365,18.43152
21.8843,18.43152
21.90155,18.43152
21.9211,18.43152
22.00295,18.43152
22.0644,18.43152
22.08155,18.43152
22.10125,18.43152
22.12175,18.43152
22.26175,18.43152
22.2737,18.43152
22.28155,18.43152
22.30205,18.43152
22.32255,18.43152
22.46225,18.43152
22.4823,18.43152
22.5028,18.43152
22.5233,18.43152
22.6585,18.43152
22.6626,18.43152
22.6831,18.43152
22.70355,18.43152
22.72405,18.43152
22.8634,18.43152
22.884,18.43152
22.90435,18.43152
22.9216,18.43152
23.0027,18.43152
23.06415,18.43152
23.08095,18.43152
23.10155,18.43152
23.12175,18.43152
23.2612,18.43152
23.27385,18.43152
23.2816,18.43152
23.3018,18.43152
23.32225,18.43152
23.4616,18.43152
23.4821,18.43152
23.50255,18.43152
23.52305,18.43152
23.66235,18.43152
23.68285,18.43152
23.6831,18.43152
23.7033,18.43152
23.72405,18.43152
23.86315,18.43152
23.88365,18.43152
23.9041,18.43152
23.9246,18.43152
24.00265,18.43152
24.06415,18.43152
24.0845,18.43152
24.10095,18.43152
24.1215,18.43152
24.261,18.43152
24.27405,18.43152
24.2811,18.43152
24.3016,18.43152
24.32205,18.43152
24.46135,18.43152
24.4819,18.43152
24.50235,18.43152
24.5228,18.43152
24.6622,18.43152
24.68265,18.43152
24.7031,18.43152
24.7072,18.43152
24.7238,18.43152
24.86305,18.43152
24.88365,18.43152
24.9039,18.43152
24.9244,18.43152
25.00225,18.43152
25.0637,18.43152
25.0842,18.43152
25.10465,18.43152
25.1213,18.43152
25.26455,18.43152
25.27425,18.43152
25.281,18.43152
25.30135,18.43152
25.32185,18.43152
25.46135,18.43152
25.4816,18.43152
25.50235,18.43152
25.5227,18.43152
25.66185,18.43152
25.6824,18.43152
25.70285,18.43152
25.72335,18.43152
25.73155,18.43152
25.8627,18.43152
25.8834,18.43152
25.90365,18.43152
25.92415,18.43152
26.002,18.43152
26.06345,18.43152
26.08395,18.43152
26.1044,18.43152
26.12115,18.43152
26.26445,18.43152
26.2744,18.43152
26.2847,18.43152
26.30115,18.43152
26.32155,18.43152
26.46155,18.43152
26.48135,18.43152
26.50185,18.43152
26.5224,18.43152
26.66165,18.43152
26.68215,18.43152
26.70285,18.43152
26.7231,18.43152
26.7559,18.43152
26.86245,18.43152
26.88295,18.43152
26.9034,18.43152
26.9239,18.43152
27.002,18.43152
27.0632,18.43152
27.0841,18.43152
27.1042,18.43152
27.12485,18.43152
27.264,18.43152
27.27465,18.43152
27.28445,18.43152
